Chromosome	Start	End	Feature	read.counts.compensated.t1.bam	read.counts.compensated.t2.bam	read.counts.compensated.t3.bam	read.counts.compensated.t4.bam	read.counts.compensated.t5.bam	read.counts.compensated.t6.bam	read.counts.compensated.t7.bam	read.counts.compensated.n8.bam	read.counts.compensated.n9.bam	read.counts.compensated.n10.bam	read.counts.compensated.n11.bam	read.counts.compensated.n12.bam	read.counts.compensated.n13.bam	read.counts.compensated.t14.bam	read.counts.compensated.t15.bam	read.counts.compensated.t16.bam	read.counts.compensated.t17.bam	read.counts.compensated.t18.bam	read.counts.compensated.t19.bam	read.counts.compensated.t20.bam	read.counts.compensated.t21.bam	read.counts.compensated.t22.bam	read.counts.t1.bam	read.counts.t2.bam	read.counts.t3.bam	read.counts.t4.bam	read.counts.t5.bam	read.counts.t6.bam	read.counts.t7.bam	read.counts.n8.bam	read.counts.n9.bam	read.counts.n10.bam	read.counts.n11.bam	read.counts.n12.bam	read.counts.n13.bam	read.counts.t14.bam	read.counts.t15.bam	read.counts.t16.bam	read.counts.t17.bam	read.counts.t18.bam	read.counts.t19.bam	read.counts.t20.bam	read.counts.t21.bam	read.counts.t22.bam	fraction.of.bin.t1.bam	fraction.of.bin.t2.bam	fraction.of.bin.t3.bam	fraction.of.bin.t4.bam	fraction.of.bin.t5.bam	fraction.of.bin.t6.bam	fraction.of.bin.t7.bam	fraction.of.bin.n8.bam	fraction.of.bin.n9.bam	fraction.of.bin.n10.bam	fraction.of.bin.n11.bam	fraction.of.bin.n12.bam	fraction.of.bin.n13.bam	fraction.of.bin.t14.bam	fraction.of.bin.t15.bam	fraction.of.bin.t16.bam	fraction.of.bin.t17.bam	fraction.of.bin.t18.bam	fraction.of.bin.t19.bam	fraction.of.bin.t20.bam	fraction.of.bin.t21.bam	fraction.of.bin.t22.bam
1	10000001	11000000	1:10000001-11000000	27467.6080477853	15535.0746569002	4480.42017144927	14625.9417008813	4446.21081015817	9204.33050267638	11408.0639866297	8875.31693967079	7467.70233831046	9059.44379603171	9800.72394254505	11353.7043432289	47904.7022157417	8918.58172012718	8422.54598140621	11207.5904535759	9270.73690988852	5698.8771280235	38546.3165479282	37364.2607728023	6934.43876524329	42160.6998963969	25770	15440	4453	13722	4419	9148	10703	8821	7422	9004	9195	10652	44944	8864	8371	11139	9214	5664	36164	35055	6892	39555	0.938196	0.99388	0.99388	0.938196	0.99388	0.99388	0.938196	0.99388	0.99388	0.99388	0.938196	0.938196	0.938196	0.99388	0.99388	0.99388	0.99388	0.99388	0.938196	0.938196	0.99388	0.938196
1	11000001	12000000	1:11000001-12000000	28968.0835195941	15919.6440053437	4350.03023658935	11673.5881283568	4414.86088511903	9231.45923161865	10833.5922105799	9046.53246368155	7458.71297346301	8894.55241876773	9478.83243931899	10585.7429477913	43148.201522759	8538.51525061297	8231.36676823468	11269.9048689943	9222.95685148361	5986.73841258437	35957.2084322581	34065.2550099757	7262.09543284023	40362.4206686098	25830	14979	4093	10409	4154	8686	9660	8512	7018	8369	8452	9439	38474	8034	7745	10604	8678	5633	32062	30375	6833	35990	0.891671	0.940913	0.940913	0.891671	0.940913	0.940913	0.891671	0.940913	0.940913	0.940913	0.891671	0.891671	0.891671	0.940913	0.940913	0.940913	0.940913	0.940913	0.891671	0.891671	0.940913	0.891671
1	12000001	13000000	1:12000001-13000000	20929.2982832528	13802.0223641816	3644.59336331305	10637.6489691524	4086.48510591719	7815.20006243241	9341.99068640442	7829.38924682796	6335.47083261121	7782.76764095688	7518.39372026401	9436.6410479688	38369.153236832	7695.60550824138	7241.55160758392	9687.15888947335	8016.88918348338	5152.70096192535	30688.8022312245	28550.7557305536	6169.2546725491	33704.9937530761	19901	13618	3596	10115	4032	7711	8883	7725	6251	7679	7149	8973	36484	7593	7145	9558	7910	5084	29181	27148	6087	32049	0.950868	0.986667	0.986667	0.950868	0.986667	0.986667	0.950868	0.986667	0.986667	0.986667	0.950868	0.950868	0.950868	0.986667	0.986667	0.986667	0.986667	0.986667	0.950868	0.950868	0.986667	0.950868
1	13000001	14000000	1:13000001-14000000	19819.811782601	15643.8250288801	3494.54532679475	9597.10235756845	4211.64008043034	8470.81093703825	9977.37332014466	8075.06556147279	7188.51325798672	7918.0073445382	7219.57246838231	8797.5296884566	38766.4500646238	8218.69116774851	7889.07556773446	10853.5494123749	8949.21853204298	5441.24059458934	30670.3586033239	28580.5410553244	6467.28539337917	44007.7213963193	17773	15140	3382	8606	4076	8198	8947	7815	6957	7663	6474	7889	34763	7954	7635	10504	8661	5266	27503	25629	6259	39463	0.896729	0.967794	0.967794	0.896729	0.967794	0.967794	0.896729	0.967794	0.967794	0.967794	0.896729	0.896729	0.896729	0.967794	0.967794	0.967794	0.967794	0.967794	0.896729	0.896729	0.967794	0.896729
1	14000001	15000000	1:14000001-15000000	13264.710892694	9617.07748718486	2377.3008476258	6581.7661846921	2650.03912980205	5929.00459686127	6191.50616621153	4737.30113257625	4064.61454855199	4551.06566377679	4504.50915510771	5353.16983021624	21291.88455324	4916.41284027408	4626.37399542247	6330.98825902402	5144.37319552587	3650.41872450075	18703.5727375501	17311.851825085	4193.8599285385	22361.486085372	12848	9450	2336	6375	2604	5826	5997	4655	3994	4472	4363	5185	20623	4831	4546	6221	5055	3587	18116	16768	4121	21659	0.968585	0.982627	0.982627	0.968585	0.982627	0.982627	0.968585	0.982627	0.982627	0.982627	0.968585	0.968585	0.968585	0.982627	0.982627	0.982627	0.982627	0.982627	0.968585	0.968585	0.982627	0.968585
1	15000001	16000000	1:15000001-16000000	19672.1752204007	13498.5470805574	3535.95988263364	9969.99282392136	3690.70869900748	8034.80128937118	9584.30444772113	7230.71430233064	5983.62089978851	7259.03434715722	7247.42581444356	8838.77812267992	36764.4777903468	7160.92562043655	6863.56514975741	9481.14643587179	7715.18935489972	4889.25345327547	29313.3506083123	27371.4665050843	5923.94651961821	32055.5639425831	19025	13346	3496	9642	3649	7944	9269	7149	5916	7177	7009	8548	35555	7080	6786	9374	7628	4834	28349	26471	5857	31001	0.967102	0.988699	0.988699	0.967102	0.988699	0.988699	0.967102	0.988699	0.988699	0.988699	0.967102	0.967102	0.967102	0.988699	0.988699	0.988699	0.988699	0.988699	0.967102	0.967102	0.988699	0.967102
1	16000001	17000000	1:16000001-17000000	22881.5355775665	19630.9168402252	6574.80424965772	15257.4744271303	5465.74933209532	11265.7196713243	13505.509441491	13477.3815127423	8559.71164572143	10619.8456350307	10955.4963485143	13127.2678906175	53981.5118855133	22389.5834810999	10188.9047222957	15154.9345421172	11022.845241703	7158.34768011933	43124.7324252765	41673.0746050285	8798.28741287148	52043.5434998566	22020	18267	6118	14683	5086	10483	12997	12541	7965	9882	10543	12633	51949	20834	9481	14102	10257	6661	41501	40104	8187	50084	0.962348	0.930522	0.930522	0.962348	0.930522	0.930522	0.962348	0.930522	0.930522	0.930522	0.962348	0.962348	0.962348	0.930522	0.930522	0.930522	0.930522	0.930522	0.962348	0.962348	0.930522	0.962348
1	17000001	18000000	1:17000001-18000000	15785.2496280335	16139.4750344086	4637.01960273314	11159.5055675154	4919.00740294326	10998.5422146935	11304.315015618	9300.50737443908	7783.67769099838	9490.87458974338	9278.00252702685	11193.1584674265	46070.819978401	8578.74076668105	9316.79547842233	12222.1860264356	10253.3614574595	6215.94768261001	33948.6375164568	35837.2790508659	7916.01853586233	42923.763944283	15479	15854	4555	10943	4832	10804	11085	9136	7646	9323	9098	10976	45177	8427	9152	12006	10072	6106	33290	35142	7776	42091	0.980599	0.982312	0.982312	0.980599	0.982312	0.982312	0.980599	0.982312	0.982312	0.982312	0.980599	0.980599	0.980599	0.982312	0.982312	0.982312	0.982312	0.982312	0.980599	0.980599	0.982312	0.980599
1	18000001	19000000	1:18000001-19000000	10793.9081123092	9212.41775165905	2986.6420948543	6749.22456685401	3790.38983274201	8770.80916976581	8074.20710760657	5945.11781090904	5139.35818882137	6080.91999440696	5663.76976230157	6971.57098864315	27021.1542407021	6566.79002869953	6102.04477850664	8521.33552896962	6778.0378696963	4884.85483752526	23223.0730903222	22018.3597504465	5322.43965101857	24348.9545170181	10680	9158	2969	6678	3768	8719	7989	5910	5109	6045	5604	6898	26736	6528	6066	8471	6738	4856	22978	21786	5291	24092	0.989447	0.994093	0.994093	0.989447	0.994093	0.994093	0.989447	0.994093	0.994093	0.994093	0.989447	0.989447	0.989447	0.994093	0.994093	0.994093	0.994093	0.994093	0.989447	0.989447	0.994093	0.989447
1	19000001	20000000	1:19000001-20000000	13258.104874464	10354.573977039	3560.58395192505	10381.3653681862	4057.40961963552	8186.51562627804	10017.9770913552	7255.47240345476	6204.26199677467	7260.52144479328	7250.5577352104	8836.71213575133	35404.5452889089	7276.67837707654	6838.42158889292	9587.11969358378	7885.59276250218	5322.6993790689	29970.9289378535	28583.1703653317	6265.86030110463	33682.752924314	13098	10254	3526	10256	4018	8107	9897	7185	6144	7190	7163	8730	34977	7206	6772	9494	7809	5271	29609	28238	6205	33276	0.987924	0.990287	0.990287	0.987924	0.990287	0.990287	0.987924	0.990287	0.990287	0.990287	0.987924	0.987924	0.987924	0.990287	0.990287	0.990287	0.990287	0.990287	0.987924	0.987924	0.990287	0.987924
1	20000001	21000000	1:20000001-21000000	12534.8600058765	9230.71304443099	3318.34952943552	9450.20064519606	3531.38939528127	8295.36658581296	9209.24340443097	6825.39151147727	5823.08966645058	6712.78472524451	7379.18841127843	8301.33278838362	32936.9230878721	6539.30940591297	6274.53128693325	8980.13758317431	6991.76550194729	4702.09418188126	27357.2887531937	25976.6139305819	5567.44182743568	30818.1260846888	12329	9099	3271	9295	3481	8177	9058	6728	5740	6617	7258	8165	32396	6446	6185	8852	6892	4635	26908	25550	5488	30312	0.983577	0.985731	0.985731	0.983577	0.985731	0.985731	0.983577	0.985731	0.985731	0.985731	0.983577	0.983577	0.983577	0.985731	0.985731	0.985731	0.985731	0.985731	0.983577	0.983577	0.985731	0.983577
1	21000001	22000000	1:21000001-22000000	15256.1876690758	11143.7280091646	4592.50470501596	12556.0221262163	4198.71532607806	7794.98404385893	10318.1653006016	8390.27084526634	6565.54291792816	8137.63194501268	8469.9398393023	9933.58097468406	40731.618686155	8446.5264708289	7993.4129776614	10359.2177399558	8614.27051796089	5438.38474756567	33692.0095288085	31845.8028828683	6816.13615907045	38430.1691767271	15114	10895	4490	12439	4105	7621	10222	8203	6419	7956	8391	9841	40352	8258	7815	10128	8422	5317	33378	31549	6664	38072	0.99068	0.97768	0.97768	0.99068	0.97768	0.97768	0.99068	0.97768	0.97768	0.97768	0.99068	0.99068	0.99068	0.97768	0.97768	0.97768	0.97768	0.97768	0.99068	0.99068	0.97768	0.99068
1	22000001	23000000	1:22000001-23000000	14563.2637227646	11135.4589682763	4285.11117365607	10895.1719790522	4362.51055446102	8942.14144988139	10572.9132992823	8620.48168549717	6659.36230951711	8133.97129186603	8317.10254089351	9718.27115794918	39005.4228357148	8077.68083309879	7621.32604237867	10422.7815528125	8610.42981786016	5431.02408427486	32008.6716881102	30784.2907480442	6604.07703751357	35977.8075903537	14416	11078	4263	10785	4340	8896	10466	8576	6625	8092	8233	9620	38611	8036	7582	10369	8566	5403	31685	30473	6570	35614	0.989888	0.99484	0.99484	0.989888	0.99484	0.99484	0.989888	0.99484	0.99484	0.99484	0.989888	0.989888	0.989888	0.99484	0.99484	0.99484	0.99484	0.99484	0.989888	0.989888	0.99484	0.989888
1	23000001	24000000	1:23000001-24000000	15104.602256274	10651.347633157	4212.80135679799	12214.902910557	4093.960677835	8113.39415021865	11103.168544195	7889.81253386456	6415.38241520516	7856.57742873084	8954.62544271935	10342.7746378763	40246.2015742483	7594.72508525308	7348.98673214318	9723.78606260688	8024.7672031954	5217.9115059934	32172.4585529633	31091.0994425128	6038.71789035638	36745.9595847095	14918	10576	4183	12064	4065	8056	10966	7834	6370	7801	8844	10215	39749	7541	7297	9655	7968	5181	31775	30707	5996	36292	0.987646	0.992926	0.992926	0.987646	0.992926	0.992926	0.987646	0.992926	0.992926	0.992926	0.987646	0.987646	0.987646	0.992926	0.992926	0.992926	0.992926	0.992926	0.987646	0.987646	0.992926	0.987646
1	24000001	25000000	1:24000001-25000000	15270.4344351896	10448.5616625127	4364.97115677773	13265.6765576168	3716.9671399578	6978.11778982332	10851.2463570599	7642.22128532201	6748.70021865105	7827.3652901277	9541.10615583367	10535.8797915944	42952.7234083115	7459.08971535116	7188.41723006457	9563.09033518108	7949.11759763579	4917.38451894255	33574.8777574294	33405.5330100573	6331.11999042081	39646.9516931433	15059	10384	4338	13082	3694	6935	10701	7595	6707	7779	9409	10390	42358	7413	7144	9504	7900	4887	33110	32943	6292	39098	0.986154	0.993821	0.993821	0.986154	0.993821	0.993821	0.986154	0.993821	0.993821	0.993821	0.986154	0.986154	0.986154	0.993821	0.993821	0.993821	0.993821	0.993821	0.986154	0.986154	0.993821	0.986154
1	25000001	26000000	1:25000001-26000000	13573.7232443947	11635.7553555448	4506.79954679777	11638.5177639736	4036.64763526704	7705.0432368244	9852.87385592976	8237.7475486017	6598.26931633253	8597.92830486022	9085.86552191431	9758.89259761166	42650.311906617	7896.73607628972	7731.2748885407	10103.2215495037	8275.07720681337	5378.49751152427	32319.447349779	29604.0963702013	6556.90401939528	37715.7905693344	13432	11533	4467	11517	4001	7637	9750	8165	6540	8522	8991	9657	42205	7827	7663	10014	8202	5331	31982	29295	6499	37322	0.989559	0.991169	0.991169	0.989559	0.991169	0.991169	0.989559	0.991169	0.991169	0.991169	0.989559	0.989559	0.989559	0.991169	0.991169	0.991169	0.991169	0.991169	0.989559	0.989559	0.991169	0.989559
1	26000001	27000000	1:26000001-27000000	16958.6020974185	11802.9162742225	4851.76391760126	13991.5272521237	4506.71393049048	8206.97382133833	12214.1052499985	9010.41870411663	7526.9043699979	9226.07494606086	10162.4581857189	11602.1397620291	48255.5454961558	9121.75750809714	8377.4927103175	11248.2283588961	9090.66288716564	5696.33394419218	37925.7293680927	38556.8502831979	7003.31107560306	46023.4341446497	16821	11767	4837	13878	4493	8182	12115	8983	7504	9198	10080	11508	47864	9094	8352	11214	9063	5679	37618	38244	6982	45650	0.991886	0.996957	0.996957	0.991886	0.996957	0.996957	0.991886	0.996957	0.996957	0.996957	0.991886	0.991886	0.991886	0.996957	0.996957	0.996957	0.996957	0.996957	0.991886	0.991886	0.996957	0.991886
1	27000001	28000000	1:27000001-28000000	17109.8151930476	8716.07686515861	5458.80119160638	16301.6634371403	4893.07460634432	8679.24837136216	12695.2733904482	9942.67031132353	8290.50315906636	10039.8566143975	11267.9151430388	12971.5031519972	53640.9444387966	9770.80400694012	9280.7804367041	12408.1333682522	10069.524012178	6141.15134055717	41813.3816376009	41665.5114306751	8120.68288211608	50601.3901853204	16662	8520	5336	15875	4783	8484	12363	9719	8104	9814	10973	12632	52237	9551	9072	12129	9843	6003	40719	40575	7938	49277	0.973827	0.977504	0.977504	0.973827	0.977504	0.977504	0.973827	0.977504	0.977504	0.977504	0.973827	0.973827	0.973827	0.977504	0.977504	0.977504	0.977504	0.977504	0.973827	0.973827	0.977504	0.973827
1	28000001	29000000	1:28000001-29000000	19579.6793150749	9292.91835922662	6101.73500549737	19339.2767316562	5109.50148784915	8139.32161295075	14370.6199760405	10941.6296082482	8928.09714667717	10985.7288756992	12892.8511544374	14554.4572457137	59937.0104827647	10464.5557149143	10107.7525509923	12953.1575576623	11149.0966164837	6006.52067804628	45913.8631483041	45617.9053460282	8193.44344118611	54591.5883338081	19384	9272	6088	19146	5098	8121	14227	10917	8908	10961	12764	14409	59338	10441	10085	12924	11124	5993	45455	45162	8175	54046	0.990006	0.997749	0.997749	0.990006	0.997749	0.997749	0.990006	0.997749	0.997749	0.997749	0.990006	0.990006	0.990006	0.997749	0.997749	0.997749	0.997749	0.997749	0.990006	0.990006	0.997749	0.990006
1	29000001	30000000	1:29000001-30000000	14430.8224789097	6774.28885543561	3832.83454897366	11565.1128714917	4030.80738750219	7488.79996301827	10394.5261908644	7601.35304888221	6342.16540077943	7421.46909915324	8641.68402463093	9803.15714113569	38780.2405778405	7312.93576635587	7081.79996502815	9282.61476897474	8045.53576273809	4819.68392681638	31747.6069299542	30350.1937644994	5884.91848945719	35418.3480348624	14251	6741	3814	11421	4011	7452	10265	7564	6311	7385	8534	9681	38297	7277	7047	9237	8006	4796	31352	29972	5856	34977	0.987539	0.995086	0.995086	0.987539	0.995086	0.995086	0.987539	0.995086	0.995086	0.995086	0.987539	0.987539	0.987539	0.995086	0.995086	0.995086	0.995086	0.995086	0.987539	0.987539	0.995086	0.987539
1	30000001	31000000	1:30000001-31000000	8808.60033812222	5433.84405309344	2590.41346211771	5307.85024974246	3355.4890660455	8282.29482519729	6271.16429315946	5581.43737826061	4857.52725958353	5613.56653748067	4309.08300809245	5406.10625627395	21236.4657415745	5359.54537239704	5269.1821120906	7355.56938894355	5724.01052229964	4536.23566738288	18208.7626124753	17291.0312525007	4959.93895459748	19225.7629275023	8696	5412	2580	5240	3342	8249	6191	5559	4838	5591	4254	5337	20965	5338	5248	7326	5701	4518	17976	17070	4940	18980	0.987217	0.99598	0.99598	0.987217	0.99598	0.99598	0.987217	0.99598	0.99598	0.99598	0.987217	0.987217	0.987217	0.99598	0.99598	0.99598	0.99598	0.99598	0.987217	0.987217	0.99598	0.987217
1	31000001	32000000	1:31000001-32000000	14650.7211895608	7745.29108898107	4340.71210678374	11413.6617949652	4184.35366463838	8330.37429184757	10611.7747145058	7736.21221169521	6796.04403053731	7971.25425698468	8254.95938665815	10137.5623039803	40611.3066078345	7767.48390012428	7599.02028826444	10047.2908630179	8450.41722484949	5599.64975708959	31984.9147537047	31325.4949210426	6840.42965282373	37107.6299352181	14397	7678	4303	11216	4148	8258	10428	7669	6737	7902	8112	9962	39908	7700	7533	9960	8377	5551	31431	30783	6781	36465	0.982682	0.991312	0.991312	0.982682	0.991312	0.991312	0.982682	0.991312	0.991312	0.991312	0.982682	0.982682	0.982682	0.991312	0.991312	0.991312	0.991312	0.991312	0.982682	0.982682	0.991312	0.982682
